TRADING_DATE,A B B,Amara Raja Batt.,Atul,Bajaj Electrical,Bata India,Blue Star,Disa India,Exide Inds.,CRISIL,CG Power & Indu.,Wyeth,Dabur India,Titan Company,Dr Reddy's Labs,Merck,Finolex Cables,Godfrey Phillips,Kansai Nerolac,Goodyear India,GHCL
1/15/2016,1006.12396,798.5859058,1475.61513,176.837026,453.6030705,331.5679695,4744.029765,130.3187586,1780.256816,59.98,,242.7313046,329.8056772,2873.695511,707.2414757,226.6063157,1186.050536,258.0205698,474.3528484,110.7835698
1/18/2016,991.1071846,768.7648265,1423.170084,167.3662158,449.3275053,332.7805498,4713.075246,125.5315389,1737.062007,59.57,,238.7695277,329.3134299,2815.178471,686.1261674,216.8413402,1056.925645,250.5438374,451.45799,96.92971326
1/19/2016,1009.840984,792.297441,1431.458671,172.6115876,456.9448916,330.7919181,4593.251299,123.742376,1732.666076,59.93,,241.5717601,333.8913296,2853.782104,694.1354223,214.5841097,1036.570982,256.750014,461.4744905,100.6177706
1/20/2016,990.8593831,781.489142,1370.873049,170.4745842,444.7079291,334.2841495,4543.324654,120.8893865,1743.990378,57.76,,240.6054731,335.7618693,2806.762977,681.2720736,207.8124181,1147.29839,245.9991569,463.1439073,93.66720096
1/21/2016,960.2311082,791.2657397,1383.157918,172.1744733,439.4494753,336.0302652,4594.249832,115.8120322,1770.079278,57.32,,232.8751767,337.6816337,2698.389028,679.330436,215.1238822,1180.276858,254.7953127,466.0057646,94.42372556
1/22/2016,958.94254,805.758686,1442.559457,176.1570704,465.0045778,340.298548,4572.282108,120.6959634,1721.485119,58.48,,233.3583203,342.505657,2821.294383,686.8542815,219.4420623,1186.882337,257.9717023,468.1521576,104.0694141
1/25/2016,971.4317395,823.9854083,1436.29368,181.6938518,469.6241541,345.4398886,4728.053239,120.6959634,1708.440669,58.84,,229.7830582,348.7079727,2836.657552,696.0770598,226.7044561,1204.692667,261.6856347,473.1604079,99.29385261
1/27/2016,963.3038478,808.1168603,1441.178026,179.1683024,472.3270976,346.8464818,4548.317319,117.7946182,1691.717015,58.96,,229.0100286,343.5393763,2904.030432,698.7468115,228.6672653,1197.255387,259.046788,459.8050738,106.3862707
1/28/2016,959.7355051,804.825242,1430.866629,176.5941847,470.8527648,344.4213211,4548.317319,114.4097153,1686.652137,57.27,,235.0010082,334.0390038,2942.585137,704.3290194,221.1104501,1188.203433,256.6522789,470.2985505,110.8308526
1/29/2016,964.443735,822.4624207,1432.544081,177.5169816,468.0023879,350.8237454,4522.355464,116.2955898,1743.51256,58.39,,241.6200745,358.25757,3037.014809,701.1738584,227.53865,1195.738573,257.0432192,472.2064554,112.2020535
2/1/2016,988.9265308,861.0283965,1428.399788,180.8681914,460.778157,344.3728179,4543.324654,119.003512,1752.304423,58.9,,242.1998467,353.5812208,2984.564753,696.8051739,224.2018745,1251.860683,263.640336,471.7294792,117.1667461
2/2/2016,1005.628357,846.4371929,1476.009825,173.3401114,446.4279841,343.0632312,4501.386273,117.9396854,1794.878067,57.03,,233.2616916,346.1482869,2980.063442,690.2521472,227.097018,1210.515275,262.0277075,467.1505075,110.1688936
2/3/2016,996.4101384,847.5180228,1445.914361,170.2803112,445.0027956,340.4440576,4381.063059,114.6031384,1781.881399,44.64,,234.6144934,348.1665007,2943.221192,682.2428923,221.6992928,1170.637751,263.542601,462.1899548,106.1025739
2/4/2016,1138.003959,838.5274833,1457.952547,169.6003556,456.0111475,342.6752054,4253.250849,117.6979067,1766.973456,45.75,,238.8661564,355.1564121,2942.829774,669.3795436,225.0851386,1112.852038,262.809588,458.7557261,104.6840903
2/5/2016,1120.80653,865.9903883,1446.55574,173.3401114,473.0151196,344.0817986,4360.093869,120.792675,1771.942771,43.31,,242.1998467,363.6230653,3042.347884,681.2720736,222.0427844,1137.659283,265.2040971,474.3051508,106.8590985
2/8/2016,1091.615504,856.0664047,1448.183855,173.5343845,479.3547508,339.0374644,4403.53005,122.5818379,1766.447856,43.46,,242.4414184,365.3951555,3004.771724,678.3596172,223.7111722,1146.466589,263.3959984,466.4827408,107.0009469
2/9/2016,1109.308537,851.1535416,1448.973244,173.0487019,473.3591306,332.3925241,4283.206836,124.3710008,1741.601285,43.91,,240.0257008,361.3095031,2896.153138,672.0492952,219.9327646,1103.164001,259.0956555,465.5287884,103.6911518
2/10/2016,1050.629123,853.3152014,1454.104274,173.3401114,480.2393505,320.3637271,4471.430286,123.2104627,1758.898321,43.72,,234.2279786,361.4571773,2824.915002,664.0400403,218.0680959,1033.439496,262.0277075,459.8050738,102.1308198
2/11/2016,1069.115121,845.9950353,1389.670379,165.2292124,473.3099862,318.9571339,4247.758919,122.7269051,1732.092693,41.84,,230.2178874,349.8893662,2825.061784,647.5361212,215.2710929,950.6018901,255.3328556,462.3807453,96.0786231
2/12/2016,1033.332573,811.2119641,1344.773868,163.4321869,453.4556373,321.8673267,4008.610291,123.6456645,1716.802496,40.97,,238.8661564,350.6769619,2785.381751,614.7709876,216.7431997,933.8190793,259.6820659,464.0978597,95.22753293
2/15/2016,1096.422855,858.7193508,1376.892141,167.4633523,472.5728198,324.4379971,4093.984853,124.6611353,1730.659237,43,,239.639186,353.3350972,2794.629009,627.3916317,224.9379279,1006.087918,258.0694374,458.4695404,102.9346272
2/16/2016,1090.822539,827.7683129,1310.435437,163.7235964,460.1392795,323.0314039,4090.989255,122.1949918,1721.628464,42.17,,236.2571814,343.7362752,2798.983538,614.2855783,223.3186104,967.286842,256.3102062,450.7425256,98.91559032
2/17/2016,1093.944839,830.2247445,1338.113396,161.003774,457.9277802,329.0943056,4093.485587,120.0189829,1754.120134,41.31,,233.0201198,321.9297207,2897.523102,625.6926988,222.8279081,992.289805,256.750014,446.1635539,101.8944059
2/18/2016,1082.793768,854.6416744,1347.142035,163.0436408,464.4639891,324.5350035,3825.878772,124.5160681,1730.945928,44.25,,235.24258,328.8704074,3028.550387,630.0613833,231.8568302,979.0788461,255.0396504,452.841221,105.1569182
2/19/2016,1089.831333,869.625907,1378.520257,162.4608217,477.3889737,316.8229925,3976.657239,122.6785494,1736.679752,44.14,,236.0156096,329.0673063,2996.405157,632.7311349,232.249392,1036.81563,262.4186477,456.9432165,103.2656067
2/22/2016,1096.422855,875.3739569,1382.368529,162.8493678,480.2393505,315.1738832,4083.999524,124.7578468,1726.358869,47.25,,240.2672726,332.8576103,3034.421662,628.8478598,231.0717065,1097.341393,261.5878997,455.0353116,104.1166969
2/23/2016,1074.318954,863.7795999,1363.719209,161.2466153,465.8400331,316.5804764,3994.131564,122.1466361,1734.529568,47.15,,230.0729443,323.8987099,3011.915109,627.148927,232.887305,1110.307705,259.5354633,441.9661632,100.1922256
2/24/2016,1067.776992,867.759019,1339.001459,157.603996,455.9620031,309.7900265,3993.632298,123.935799,1737.922081,45.99,,228.381942,322.3235186,2948.798903,627.8770411,232.8382347,1072.33843,259.9264036,439.3904916,98.44276245
2/25/2016,1044.632325,848.9427531,1345.859278,154.8841736,455.7654254,309.3534976,3994.131564,121.9048573,1704.857029,42.57,,230.3628304,319.7638327,2929.032278,617.9261487,234.4575523,1038.870668,259.046788,435.3838914,98.11178294
2/26/2016,1017.02723,845.8476494,1341.714984,152.8443067,454.340237,306.9283369,3807.90518,125.0479814,1716.181331,43.62,,232.2470902,325.4739011,2928.689787,622.0521284,235.8805889,999.0910024,262.6141179,429.5647816,94.75470506
2/29/2016,1006.371762,837.3975247,1333.475734,153.3299893,449.4749386,304.5031762,4066.525199,123.7907317,1714.986785,44.21,,229.7830582,311.4448537,2966.217019,631.7603162,233.2798668,1052.864498,262.1254425,425.1766004,94.28187719
3/1/2016,1021.933701,848.9427531,1383.157918,160.0809771,456.0602919,317.7930568,4254.748649,123.9841548,1713.218856,45.83,,233.7448351,331.6762169,2963.036745,641.4685039,233.6724286,1156.69285,267.5008711,433.9529628,97.73352064
3/2/2016,1021.388537,860.7827533,1401.412544,163.2864821,464.7097113,319.7816885,4059.535469,127.8042594,1716.898059,46.74,,235.2908943,329.0180816,2949.728522,649.2350541,231.8077599,1134.772444,267.403136,453.6043829,100.9960329
3/3/2016,1065.546778,854.4942885,1407.974342,168.5318539,484.2200492,327.0571706,4195.335942,127.3207018,1723.874212,46.79,,237.030211,337.0417122,3119.946567,651.9048057,233.328937,1127.139445,273.6581801,456.8478212,102.4617993
3/4/2016,1128.587499,850.0727117,1405.260816,168.5804222,482.4508498,331.6164727,4051.047939,127.7559036,1725.116541,48.21,,240.3639013,333.2021834,3174.158006,648.0215306,230.5810042,1140.105757,276.0526892,463.1439073,102.8873444
3/8/2016,1141.126259,875.8652432,1426.771672,171.3973811,474.6860302,324.3894938,4055.042071,126.2568752,1718.149576,47.63,,239.3492999,336.7955886,3148.520105,640.7403898,224.3981554,1137.757142,268.869162,459.900469,107.0482297
3/9/2016,1165.955977,889.5230028,1434.813575,180.7710549,481.1239502,326.911661,4162.883623,128.0943939,1728.239663,51.82,,237.0785254,334.186678,3149.69436,639.769571,226.9498073,1108.497314,270.7749957,456.9432165,109.1286723
3/10/2016,1138.003959,889.7195173,1426.919683,182.3738074,476.1112186,319.7331853,4093.984853,129.0131532,1725.452877,51.5,,237.706612,333.5959813,3115.934529,638.7987523,227.5877203,1171.714199,268.6248243,452.6504305,108.2775821
3/11/2016,1137.210994,877.1917163,1435.849648,182.6166487,482.8440052,323.9044617,4236.775057,127.6108364,1723.194619,49.95,,241.281874,340.2413195,3142.991321,639.2841616,225.821192,1177.732525,270.1397178,454.9399163,106.1498567
3/14/2016,1129.033542,896.2044967,1478.328656,185.3850393,489.4293586,333.8961237,4060.534001,132.3013445,1720.792218,52.9,,241.6683888,337.2386111,3164.959675,631.2749068,228.176563,1176.31357,274.5377957,449.4069922,104.4476764
3/15/2016,1130.916834,893.9937083,1474.135025,187.2792014,481.8119722,334.8176848,4019.094886,130.7539604,1701.621053,43.9,,239.0594138,338.8138024,3071.31284,623.2656519,234.8501141,1160.900785,271.3125386,445.8773682,105.2987666
3/16/2016,1114.859292,885.6909695,1479.611413,182.3252391,481.3696724,345.1003661,4019.094886,130.1253356,1718.870296,46.8,,238.3830129,334.72815,3087.703482,623.993766,239.3645751,1143.384032,269.7487776,450.4563399,104.9205043
3/17/2016,1138.747364,886.3296418,1482.374275,184.4946038,478.3718623,350.0961972,3952.193183,130.5121816,1721.416842,46.8,,239.2043569,334.4328016,3054.677561,622.2948331,238.9720133,1149.108781,268.0384139,454.9399163,104.5895248
3/18/2016,1142.563508,882.5958658,1493.327051,191.0520015,479.4530397,353.3459125,3955.688048,131.5760082,1729.681104,47.7,,240.9919879,332.4638125,3102.38167,622.7802425,237.6961874,1159.48183,270.3351879,456.752426,105.1569182
3/21/2016,1164.320486,890.161675,1499.987522,194.4539597,490.3139583,364.0166195,3873.808351,131.4792967,1710.654083,47.6,,244.1807351,336.5986897,3114.613492,617.1980346,250.9942193,1157.377862,269.2112347,455.3214973,105.86616
3/22/2016,1165.807296,891.44504,1505.217226,194.4539597,495.2284011,366.5832452,3882.29588,131.5276525,1725.981405,47,,241.0886166,354.2857271,2996.89443,622.2948331,259.1889475,1152.240267,268.6736918,456.1800545,105.204201
3/23/2016,1192.668987,890.8527177,1490.514852,194.010226,499.1599553,375.7638677,3930.225459,130.9473834,1729.681104,48,,240.46053,349.2818313,2981.873752,626.4208129,254.6254162,1184.386934,267.8429438,461.0452119,107.5683403
3/28/2016,1225.329235,873.9715325,1450.601359,190.2138379,487.5127259,374.6779876,3794.424986,131.7694312,1720.071497,47.3,,235.0010082,324.6091573,2970.424766,621.0813097,252.3681857,1141.965077,267.8429438,453.4135924,106.8590985
